"S.No","File Code","Asset family linked","Components","Services linked"
"1","","Test filecode|20230131014811|MOHINI_TEST1|AssetACP|20230131001614|TestNewAsset|DRB TEST1|100920231202","4|3|2|1|4|2|4|0","D&M|20221119104948|20221119104228|20221116063448|20221115201911|20221117102429|20221117102141|20221118063535|20221118093612|All|20221122092520|20221125212115|20221122035106|20221124063523|20221122035358|20221123063554|20221120054545|Dont Delete|20221121102902|20221121123858|20221125211219|20221120054833|20221121125123|20221121124828|20221125063509|PRS - ALS, CPL, CAM"
"2"," C100031101","LoadTestJuly","1","Cement Offshore|D&M|Testing|PRS - ALS, CPL, CAM|Wireline|Cement|All|OMT Default|Shop|Frac|Coiled Tubing"
"3"," XDLS-AA","XDLS-AA","1","Shop"
"4","1-23ZA","1-23Z Clone","3","Paul|Testing|Shop"
"5","1-23ZA-TOOL","wl_1-23ZA-TOOL","0","Wireline"
"6","1-23ZAHC","wl_1-23ZAHC","0","Wireline"
"7","1-23ZAHC-TOOL","wl_1-23ZAHC-TOOL","0","Wireline"
"8","1-23ZT","1-23Z Clone","3","Paul|Testing|Shop"
"9","1-23ZT-TOOL","wl_1-23ZT-TOOL","0","Wireline"
"10","1-23ZTHC","1-23Z Clone","3","Paul|Testing|Shop"
"11","1-23ZTHC-TOOL","wl_1-23ZTHC-TOOL","0","Wireline"
"12","1-25P","wl_1-25P","0","Wireline"
"13","1-25P-TOOL","wl_1-25P-TOOL","0","Wireline"
"14","1-25ZAXXS","wl_1-25ZAXXS","0","Wireline"
"15","1-25ZAXXS-TOOL","wl_1-25ZAXXS-TOOL","0","Wireline"
"16","1-25ZTXXS","wl_1-25ZTXXS","0","Wireline"
"17","1-25ZTXXS-TOOL","wl_1-25ZTXXS-TOOL","0","Wireline"
"18","1-28TP","wl_1-28TP","0","Wireline"
"19","1-28TP-TOOL","wl_1-28TP-TOOL","0","Wireline"
"20","1-312TP","wl_1-312TP","0","Wireline"
"21","1-312TP-TOOL","wl_1-312TP-TOOL","0","Wireline"
"22","1-32ZA","wl_1-32ZA","0","Wireline"
"23","1-32ZA-HC","wl_1-32ZA-HC","0","Wireline"
"24","1-32ZA-HC-TOOL","wl_1-32ZA-HC-TOOL","0","Wireline"
"25","1-32ZA-TOOL","wl_1-32ZA-TOOL","0","Wireline"
"26","1-32ZAUS","wl_1-32ZAUS","0","Wireline"
"27","1-32ZAUS-TOOL","wl_1-32ZAUS-TOOL","0","Wireline"
"28","1-32ZAXS","wl_1-32ZAXS","0","Wireline"
"29","1-32ZAXS-TOOL","wl_1-32ZAXS-TOOL","0","Wireline"
"30","1-32ZT","wl_1-32ZT","0","Wireline"
"31","1-32ZT-TOOL","wl_1-32ZT-TOOL","0","Wireline"
"32","1-32ZTXS","wl_1-32ZTXS","0","Wireline"
"33","1-32ZTXS-TOOL","wl_1-32ZTXS-TOOL","0","Wireline"
"34","1-33ZA-SLC","wl_1-33ZA-SLC","0","Wireline"
"35","1-33ZA-SLC-TOOL","wl_1-33ZA-SLC-TOOL","0","Wireline"
"36","1000060087","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"37","1002233964","E2E with Content Asset Type List","1","Shop|PRS - ALS, CPL, CAM"
"38","1002233981","E2E with Content Asset Type List","1","Shop|PRS - ALS, CPL, CAM"
"39","1002234111","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"40","1002239522","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"41","1002245035","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"42","1002249737","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"43","1002249860","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"44","1002249861","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"45","1002250418","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"46","1002272282","SAPITT TEST","1","Shop|Testing|PRS - ALS, CPL, CAM"
"47","103116391","PDP Truck","22","OMT Default|Sustaining|Frac"
"48","103116412","PDP Truck","22","OMT Default|Sustaining|Frac"
"49","103116413","PDP Truck","22","OMT Default|Sustaining|Frac"
"50","103116414","PDP Truck","22","OMT Default|Sustaining|Frac"
"51","103116417","PDP Truck","22","OMT Default|Sustaining|Frac"
"52","103116418","PDP Truck","22","OMT Default|Sustaining|Frac"
"53","103116419","PDP Truck","22","OMT Default|Sustaining|Frac"
"54","103199505","PDP Truck","22","OMT Default|Sustaining|Frac"
"55","123Code","ABC_Asset","1","Shop"
"56","1N29-EHS","wl_1N29-EHS","0","Wireline"
"57","1N29-EHS-TOOL","wl_1N29-EHS-TOOL","0","Wireline"
"58","1N32-LR","wl_1N32-LR","0","Wireline"
"59","1N32-LR-TOOL","wl_1N32-LR-TOOL","0","Wireline"
"60","1N32-PTZ","wl_1N32-PTZ","0","Wireline"
"61","1N32-PTZ-TOOL","wl_1N32-PTZ-TOOL","0","Wireline"
"62","1N32-S75","wl_1N32-S75","0","Wireline"
"63","1N32-S75-TOOL","wl_1N32-S75-TOOL","0","Wireline"
"64","1N32-S77","wl_1N32-S77","0","Wireline"
"65","1N32-S77-TOOL","wl_1N32-S77-TOOL","0","Wireline"
"66","1N32CTZ-EEHS","wl_1N32CTZ-EEHS","0","Wireline"
"67","1N32CTZ-EEHS-TOOL","wl_1N32CTZ-EEHS-TOOL","0","Wireline"
"68","1N32WTZ-S75","wl_1N32WTZ-S75","0","Wireline"
"69","1N32WTZ-S75-TOOL","wl_1N32WTZ-S75-TOOL","0","Wireline"
"70","2-23KAMP","wl_2-23KAMP","0","Wireline"
"71","2-23KAMP-TOOL","wl_2-23KAMP-TOOL","0","Wireline"
"72","2-23ZA","wl_2-23ZA","0","Wireline"
"73","2-23ZA-MO","wl_2-23ZA-MO","0","Wireline"
"74","2-23ZA-MO-TOOL","wl_2-23ZA-MO-TOOL","0","Wireline"
"75","2-23ZA-TOOL","wl_2-23ZA-TOOL","0","Wireline"
"76","2-23ZAHC","wl_2-23ZAHC","0","Wireline"
"77","2-23ZAHC-TOOL","wl_2-23ZAHC-TOOL","0","Wireline"
"78","2-23ZAHC265","wl_2-23ZAHC265","0","Wireline"
"79","2-23ZAHC265-TOOL","wl_2-23ZAHC265-TOOL","0","Wireline"
"80","2-23ZT","wl_2-23ZT","0","Wireline"
"81","2-23ZT-TOOL","wl_2-23ZT-TOOL","0","Wireline"
"82","2-23ZTHC","wl_2-23ZTHC","0","Wireline"
"83","2-23ZTHC-TOOL","wl_2-23ZTHC-TOOL","0","Wireline"
"84","2-23ZTMP","wl_2-23ZTMP","0","Wireline"
"85","2-23ZTMP-TOOL","wl_2-23ZTMP-TOOL","0","Wireline"
"86","2-23ZT_CAP","wl_2-23ZT_CAP","0","Wireline"
"87","2-23ZT_CAP-TOOL","wl_2-23ZT_CAP-TOOL","0","Wireline"
"88","2-25KAUS","wl_2-25KAUS","0","Wireline"
"89","2-25KAUS-TOOL","wl_2-25KAUS-TOOL","0","Wireline"
"90","2-28KA-MP-SSC","wl_2-28KA-MP-SSC","0","Wireline"
"91","2-28KA-MP-SSC-TOOL","wl_2-28KA-MP-SSC-TOOL","0","Wireline"
"92","2-28ZA-C-SLC","wl_2-28ZA-C-SLC","0","Wireline"
"93","2-28ZA-C-SLC-TOOL","wl_2-28ZA-C-SLC-TOOL","0","Wireline"
"94","2-28ZKA-US-SS","wl_2-28ZKA-US-SS","0","Wireline"
"95","2-28ZKA-US-SS-TOOL","wl_2-28ZKA-US-SS-TOOL","0","Wireline"
"96","2-29ZA","wl_2-29ZA","0","Wireline"
"97","2-29ZA-TOOL","wl_2-29ZA-TOOL","0","Wireline"
"98","2-32ZA","wl_2-32ZA","0","Wireline"
"99","2-32ZA-TOOL","wl_2-32ZA-TOOL","0","Wireline"
"100","2-32ZA-XS","wl_2-32ZA-XS","0","Wireline"
"101","2-32ZA-XS-TOOL","wl_2-32ZA-XS-TOOL","0","Wireline"
"102","2-32ZAHC","wl_2-32ZAHC","0","Wireline"
"103","2-32ZAHC-TOOL","wl_2-32ZAHC-TOOL","0","Wireline"
"104","2-32ZAHPC","wl_2-32ZAHPC","0","Wireline"
"105","2-32ZAHPC-TOOL","wl_2-32ZAHPC-TOOL","0","Wireline"
"106","2-32ZAXS","wl_2-32ZAXS","0","Wireline"
"107","2-32ZAXS-TOOL","wl_2-32ZAXS-TOOL","0","Wireline"
"108","2-32ZT","wl_2-32ZT","0","Wireline"
"109","2-32ZT-TOOL","wl_2-32ZT-TOOL","0","Wireline"
"110","2-32ZTHC","wl_2-32ZTHC","0","Wireline"
"111","2-32ZTHC-TOOL","wl_2-32ZTHC-TOOL","0","Wireline"
"112","2-32ZTHC265","wl_2-32ZTHC265","0","Wireline"
"113","2-32ZTHC265-TOOL","wl_2-32ZTHC265-TOOL","0","Wireline"
"114","2-32ZTHPC","wl_2-32ZTHPC","0","Wireline"
"115","2-32ZTHPC-TOOL","wl_2-32ZTHPC-TOOL","0","Wireline"
"116","2-32ZTXS","wl_2-32ZTXS","0","Wireline"
"117","2-32ZTXS-TOOL","wl_2-32ZTXS-TOOL","0","Wireline"
"118","2-33ZKA-SLC","wl_2-33ZKA-SLC","0","Wireline"
"119","2-33ZKA-SLC-TOOL","wl_2-33ZKA-SLC-TOOL","0","Wireline"
"120","2-34KZA-SLC","wl_2-34KZA-SLC","0","Wireline"
"121","2-34KZA-SLC-TOOL","wl_2-34KZA-SLC-TOOL","0","Wireline"
"122","2-34ZKA-SLC","wl_2-34ZKA-SLC","0","Wireline"
"123","2-34ZKA-SLC-TOOL","wl_2-34ZKA-SLC-TOOL","0","Wireline"
"124","2-35-MO-SLC-NB","wl_2-35-MO-SLC-NB","0","Wireline"
"125","2-35-MO-SLC-NB-TOOL","wl_2-35-MO-SLC-NB-TOOL","0","Wireline"
"126","2-35KZA-MO-SLC","wl_2-35KZA-MO-SLC","0","Wireline"
"127","2-35KZA-MO-SLC-TOOL","wl_2-35KZA-MO-SLC-TOOL","0","Wireline"
"128","2-35KZA-SLC-FO","wl_2-35KZA-SLC-FO","0","Wireline"
"129","2-35KZA-SLC-FO-TOOL","wl_2-35KZA-SLC-FO-TOOL","0","Wireline"
"130","2-35KZA-SLC-L","wl_2-35KZA-SLC-L","0","Wireline"
"131","2-35KZA-SLC-L-TOOL","wl_2-35KZA-SLC-L-TOOL","0","Wireline"
"132","2-35KZA-SLCI","wl_2-35KZA-SLCI","0","Wireline"
"133","2-35KZA-SLCI-CB","wl_2-35KZA-SLCI-CB","0","Wireline"
"134","2-35KZA-SLCI-CB-TOOL","wl_2-35KZA-SLCI-CB-TOOL","0","Wireline"
"135","2-35KZA-SLCI-FO","wl_2-35KZA-SLCI-FO","0","Wireline"
"136","2-35KZA-SLCI-FO-TOOL","wl_2-35KZA-SLCI-FO-TOOL","0","Wireline"
"137","2-35KZA-SLCI-GB","wl_2-35KZA-SLCI-GB","0","Wireline"
"138","2-35KZA-SLCI-GB-TOOL","wl_2-35KZA-SLCI-GB-TOOL","0","Wireline"
"139","2-35KZA-SLCI-TOOL","wl_2-35KZA-SLCI-TOOL","0","Wireline"
"140","2-35KZA-US-FH-SLC","wl_2-35KZA-US-FH-SLC","0","Wireline"
"141","2-35KZA-US-FH-SLC-TOOL","wl_2-35KZA-US-FH-SLC-TOOL","0","Wireline"
"142","2-35KZA-US-FL-SLC","wl_2-35KZA-US-FL-SLC","0","Wireline"
"143","2-35KZA-US-FL-SLC-TOOL","wl_2-35KZA-US-FL-SLC-TOOL","0","Wireline"
"144","2-35KZASLC","wl_2-35KZASLC","0","Wireline"
"145","2-35KZASLC-TOOL","wl_2-35KZASLC-TOOL","0","Wireline"
"146","2-37AZ-MP-SS","wl_2-37AZ-MP-SS","0","Wireline"
"147","2-37AZ-MP-SS-TOOL","wl_2-37AZ-MP-SS-TOOL","0","Wireline"
"148","2-37AZ-MP-SSC-TOOL","wl_2-37AZ-MP-SSC-TOOL","0","Wireline"
"149","2-37KA-2E-HP-SSC","wl_2-37KA-2E-HP-SSC","0","Wireline"
"150","2-37KA-2E-HP-SSC-TOOL","wl_2-37KA-2E-HP-SSC-TOOL","0","Wireline"
"151","2-37KA-2E-SSC","wl_2-37KA-2E-SSC","0","Wireline"
"152","2-37KA-2E-SSC-TOOL","wl_2-37KA-2E-SSC-TOOL","0","Wireline"
"153","2-37ZA-2E-SSC","wl_2-37ZA-2E-SSC","0","Wireline"
"154","2-37ZA-2E-SSC-TOOL","wl_2-37ZA-2E-SSC-TOOL","0","Wireline"
"155","2-44KZA-MO-SLC","wl_2-44KZA-MO-SLC","0","Wireline"
"156","2-44KZA-MO-SLC-TOOL","wl_2-44KZA-MO-SLC-TOOL","0","Wireline"
"157","2-44KZA-SLC","wl_2-44KZA-SLC","0","Wireline"
"158","2-44KZA-SLC-TOOL","wl_2-44KZA-SLC-TOOL","0","Wireline"
"159","2-44SLC","wl_2-44SLC","0","Wireline"
"160","2-44ZKA","wl_2-44ZKA","0","Wireline"
"161","2-44ZKA-TOOL","wl_2-44ZKA-TOOL","0","Wireline"
"162","2142-XA","wl_2142-XA","0","Wireline"
"163","2239229 Test Case","Dont Modify 3","2",""
"164","2401-NA","wl_2401-NA","0","Wireline"
"165","2401-NA-TOOL","wl_2401-NA-TOOL","0","Wireline"
"166","260","XTD Combination Building Load Bank Clone|XTD Combination Building Engine |XTD Generator Combination Building |XTD Combination Building Fuel System |XTD Combination Building VFD|XTD Air Compressor  Combination Building |XTD Combination Building Chassis  Clone|XTD Combination Building Air Compressor Clone","6|17|13|0|18|9|9|9","Sustaining|OMT Default"
"167","2_1/8_RSK","wl_2_1/8_RSK","0","Wireline"
"168","3-38-INC-TEC","wl_3-38-INC-TEC","0","Wireline"
"169","3-38-SS-TEC","wl_3-38-SS-TEC","0","Wireline"
"170","3202-XC","wl_3202-XC","0","Wireline"
"171","3202-XD","wl_3202-XD","0","Wireline"
"172","3607-XA","wl_3607-XA","0","Wireline"
"173","4-51AK-US","wl_4-51AK-US","0","Wireline"
"174","4-51AK-US-TOOL","wl_4-51AK-US-TOOL","0","Wireline"
"175","4-51AKUS","wl_4-51AKUS","0","Wireline"
"176","4-51AKUS-TOOL","wl_4-51AKUS-TOOL","0","Wireline"
"177","6301-XA","wl_6301-XA","0","Wireline"
"178","7-32ASXS","wl_7-32ASXS","0","Wireline"
"179","7-32ASXS-TOOL","wl_7-32ASXS-TOOL","0","Wireline"
"180","7-39AI-XS","wl_7-39AI-XS","0","Wireline"
"181","7-39AI-XS-TOOL","wl_7-39AI-XS-TOOL","0","Wireline"
"182","7-39AI-XXS","wl_7-39AI-XXS","0","Wireline"
"183","7-39AI-XXS-TOOL","wl_7-39AI-XXS-TOOL","0","Wireline"
"184","7-39P-LXS","wl_7-39P-LXS","0","Wireline"
"185","7-39P-LXS-TOOL","wl_7-39P-LXS-TOOL","0","Wireline"
"186","7-39P-SHP","wl_7-39P-SHP","0","Wireline"
"187","7-39P-SHP-TOOL","wl_7-39P-SHP-TOOL","0","Wireline"
"188","7-39PI-XXS","wl_7-39PI-XXS","0","Wireline"
"189","7-39PI-XXS-TOOL","wl_7-39PI-XXS-TOOL","0","Wireline"
"190","7-39PLXS","wl_7-39PLXS","0","Wireline"
"191","7-39PLXS-TOOL","wl_7-39PLXS-TOOL","0","Wireline"
"192","7-39P_LXS","wl_7-39P_LXS","0","Wireline"
"193","7-39P_LXS-TOOL","wl_7-39P_LXS-TOOL","0","Wireline"
"194","7-39ZALXS","wl_7-39ZALXS","0","Wireline"
"195","7-39ZALXS-TOOL","wl_7-39ZALXS-TOOL","0","Wireline"
"196","7-39ZLXS","wl_7-39ZLXS","0","Wireline"
"197","7-39ZLXS-TOOL","wl_7-39ZLXS-TOOL","0","Wireline"
"198","7-42ZVXS","wl_7-42ZVXS","0","Wireline"
